"","Sample_SQ24023853-R24009771LD01-2021415KP.sorted"
"chr1-47643511-47848723",22541.49
"chr1-47848723-48059415",23364.83
"chr1-48059415-48297931",26191.1
"chr1-48297931-48534589",25319.98
"chr1-48534589-48740752",22671.17
"chr1-48740752-48949518",22553.79
"chr1-48949518-49178615",24796.74
"chr1-49178615-49404748",24802.46
"chr1-49404748-49638392",25079.71
"chr1-49638392-49871206",25200.58
"chr1-50105695-50317011",23198.34
"chr1-50317011-50538474",23747.58
"chr1-50538474-50773069",24656.59
"chr1-50773069-51006036",24617.2
"chr1-51006036-51244250",24560.25
"chr1-51244250-51473118",24034.28
"chr1-51473118-51705255",24147.74
"chr1-51705255-51926608",22873.71
"chr1-51926608-52166748",24898.38
"chr1-52166748-52408587",24701.63
"chr1-52408587-52637093",23393.83
"chr1-52637093-52886825",25956.56
"chr1-53115210-53329069",22904.5
"chr1-53329069-53545263",23038.49
"chr1-53545263-53753117",22365.22
"chr1-53753117-53983772",23852.39
"chr1-53983772-54208544",23926.63
"chr1-54208544-54423328",23038.34
"chr1-54423328-54671496",25339.5
"chr1-54671496-54889427",23120.87
"chr1-54889427-55121933",25289.31
"chr1-55121933-55338114",23245.84
"chr1-55558813-55779326",23977.14
"chr1-55779326-55990756",23082.36
"chr1-55990756-56207187",23424.23
"chr1-56207187-56426961",23955.03
"chr1-56426961-56646913",23662.79
"chr1-56646913-56860001",23190.61
"chr1-56860001-57067744",22646.19
"chr1-57067744-57276808",22688.76
"chr1-57276808-57487135",22981.54
"chr1-57487135-57708337",23969.07
"chr1-57708337-57918377",23342.33
"chr1-57918377-58135300",23618.11
"chr1-58135300-58357986",24154.64
"chr1-58357986-58579823",23743.78
"chr1-58579823-58799942",23641.38
"chr1-58799942-59013745",23168.68
"chr1-59013745-59225122",23057.08
"chr1-59225122-59446209",23973.03
"chr1-59446209-59686515",26084.68
"chr1-59686515-59901462",22766.32
"chr1-59901462-60111567",22518.7
"chr1-60111567-60331609",24254.45
"chr1-60331609-60557793",24392.37
"chr1-60557793-60786545",24659.83
"chr1-60786545-60997349",22963.13
"chr1-60997349-61211226",22698.8
"chr1-61211226-61421957",22674.22
"chr1-61421957-61640864",23364.83
"chr1-61640864-61873388",23546.07
"chr1-61873388-62107636",24424.79
"chr1-62107636-62346015",24822.1
"chr1-62346015-62574797",23755.66
"chr1-62574797-62811622",24752.13
"chr1-62811622-63024802",22967.67
"chr1-63024802-63242493",23341.99
"chr1-63242493-63470406",23772.09
"chr1-63470406-63694096",23765.39
"chr1-63694096-63904913",22541.98
"chr1-63904913-64115821",22823.41
"chr1-64115821-64341015",24312.49
"chr1-64341015-64563773",23874.98
"chr1-64563773-64777582",22791.6
"chr1-64777582-64994875",23542.94
"chr1-64994875-65229038",23774.05
"chr1-65229038-65441668",22179.42
"chr1-65687372-65912354",24105.12
"chr1-65912354-66132424",23721.78
"chr1-66132424-66350042",23718.64
"chr1-66350042-66573140",24087.83
"chr1-66573140-66787979",23169.07
"chr1-66787979-67007525",23421.33
"chr1-67007525-67240406",24533.6
"chr1-67240406-67472837",24135.58
"chr1-67472837-67697390",23664.22
"chr1-67697390-67908880",22884.95
"chr1-68128499-68348903",23675.56
"chr1-68348903-68568935",23562.45
"chr1-68568935-68793051",24056.19
"chr1-68793051-69023797",25257.01
"chr1-69023797-69249433",24354.4
"chr1-69249433-69471394",23942.36
"chr1-69471394-69684452",23248.99
"chr1-69684452-69904028",23632.8
"chr1-69904028-70129261",24560.88
"chr1-70129261-70349086",22718.04
"chr1-70349086-70576033",23741.61
"chr1-70576033-70807747",24958.62
"chr1-70807747-71023848",23589.59
"chr1-71023848-71248245",24030.31
"chr1-71248245-71462451",23360.14
"chr1-71462451-71675655",23463.9
"chr1-71675655-71886395",22908.74
"chr1-71886395-72099297",23579.68
"chr1-72099297-72308198",22411.5
"chr1-72308198-72528407",19935.28
"chr1-72528407-72736433",22718.13
"chr1-72736433-72956208",24196.77
"chr1-72956208-73179646",23999.54
"chr1-73394964-73611927",23814.66
"chr1-73611927-73823781",22905.57
"chr1-73823781-74035881",22640.84
"chr1-74035881-74257592",24144.01
"chr1-74257592-74476123",23733.9
"chr1-74476123-74685893",22954.41
"chr1-74685893-74908936",23871.14
"chr1-74908936-75140184",24968.35
"chr1-75140184-75358035",23398.74
"chr1-75358035-75589698",24684.82
"chr1-75589698-75841292",26490.87
"chr1-75841292-76061730",23270.92
"chr1-76061730-76276637",23010.57
"chr1-76276637-76493252",23585.97
"chr1-76493252-76702961",22967.34
"chr1-76702961-76924088",24167.03
"chr1-77149688-77365772",23001.84
"chr1-77365772-77583955",23237.99
"chr1-77583955-77813587",23928.85
"chr1-77813587-78045874",24251.67
"chr1-78045874-78283591",25335.46
"chr1-78283591-78507272",24136.86
"chr1-78507272-78721503",23002.5
"chr1-78721503-78942887",24277.65
"chr1-78942887-79155162",23256.15
"chr1-79155162-79370217",23428.85
"chr1-79370217-79594212",24405.88
"chr1-79594212-79812594",23519.27
"chr1-79812594-80039595",24522.64
"chr1-80039595-80257204",23728.18
"chr1-80257204-80478523",24161.68
"chr1-80478523-80692819",23591.02
"chr1-80692819-80907736",23503.51
"chr1-80907736-81127420",23899.59
"chr1-81127420-81340700",22791.39
"chr1-81340700-81553505",22942.78
"chr1-81553505-81773809",23354.81
"chr1-81773809-81982876",22496.85
"chr1-81982876-82202719",23853.12
"chr1-82202719-82420952",23563.55
"chr1-82420952-82632158",22897.76
"chr1-82632158-82840109",22560.4
"chr1-82840109-83054535",23272.51
"chr1-83500491-83714154",23113.22
"chr1-83714154-83924087",22750.26
"chr1-83924087-84141545",23118.33
"chr1-84141545-84357244",23364.36
"chr1-84357244-84576160",23244.32
"chr1-84576160-84789864",22724.74
"chr1-84789864-85007221",22585.27
"chr1-85007221-85227260",23304
"chr1-85227260-85446064",23369.27
"chr1-85446064-85685550",25470.09
"chr1-85685550-85933193",26254.67
"chr1-85933193-86154168",23565.17
"chr1-86154168-86381668",24431.78
"chr1-86381668-86597383",23288.07
"chr1-86597383-86849903",26913.31
"chr1-86849903-87073703",23695.7
"chr1-87073703-87280267",22680.19
"chr1-87280267-87505365",24214.4
"chr1-87505365-87719944",22827.56
"chr1-87719944-87927190",22489.71
"chr1-87927190-88135867",22564.17
"chr1-88350126-88557711",22338.85
"chr1-88557711-88781160",23629.02
"chr1-88781160-89012677",24328.72
"chr1-89012677-89256033",26060.95
"chr1-89256033-89502382",26612.39
"chr1-89502382-89718653",23146.13
"chr1-89718653-89939007",23677.98
"chr1-89939007-90165484",24021.13
"chr1-90165484-90391798",24548.35
"chr1-90391798-90608776",23245.2
"chr1-90608776-90822757",22835.22
"chr1-90822757-91047051",23890.18
"chr1-91047051-91296180",25962.47
"chr1-91296180-91538776",25484.31
"chr1-91538776-91755483",22981.52
"chr1-91755483-91987268",23590.3
"chr1-91987268-92212580",23400.74
"chr1-92212580-92463061",26006.4
"chr1-92463061-92704740",24842.62
"chr1-92704740-92943315",24386.59
"chr1-92943315-93165633",23113.45
"chr1-93165633-93395507",24088.41
"chr1-93395507-93623938",24219.82
"chr1-93623938-93846538",23418.63
"chr1-94074405-94297191",23570.98
"chr1-94297191-94526765",24932.85
"chr1-94526765-94744088",23448.33
"chr1-94744088-94963259",23229.46
"chr1-94963259-95190711",23803.38
"chr1-95190711-95409840",23741.72
"chr1-95409840-95624141",23526.97
"chr1-95624141-95839023",23171.48
"chr1-95839023-96049754",22610.05
"chr1-96049754-96278375",24232.45
"chr1-96278375-96503478",24057.88
"chr1-96503478-96734266",24396.94
"chr1-96734266-96953219",23459.28
"chr1-96953219-97163619",22557.94
"chr1-97163619-97385873",23969.07
"chr1-97385873-97600886",23514.54
"chr1-97600886-97810381",23523.23
"chr1-97810381-98016111",22609.8
"chr1-98016111-98228162",23008.08
"chr1-98228162-98441467",22804.57
"chr1-98441467-98664546",24086.6
"chr1-98664546-98884723",24013
"chr1-98884723-99097221",22783.66
"chr1-99097221-99316060",23938
"chr1-99316060-99549388",25083.79
"chr1-99549388-99762181",23187.9
"chr1-99762181-99993823",24128.2
"chr1-99993823-100218354",23738.41
"chr1-100218354-100441893",23524.02
"chr1-100441893-100662430",23416.29
"chr1-100662430-100895987",25123.76
"chr1-100895987-101111533",23090.33
"chr1-101111533-101331340",22947.23
"chr1-101331340-101548703",23402.54
"chr1-101548703-101765023",23226.29
"chr1-101765023-101975829",22878.34
"chr1-102191341-102409784",24174.88
"chr1-102409784-102636436",24335.42
"chr1-102636436-102865882",24598.74
"chr1-102865882-103085778",24253.92
"chr1-103085778-103305118",23775.17
"chr1-103305118-103529126",23968.98
"chr1-103907093-104122955",23345.21
"chr1-104122955-104345711",24281.93
"chr1-104345711-104566008",24053.61
"chr1-104566008-104793604",24622.25
"chr1-104793604-105023506",26019.67
"chr1-105023506-105243669",23731.78
"chr1-105243669-105460591",23413.66
"chr1-105460591-105678332",22821.63
"chr1-105678332-105899036",24013.67
"chr1-105899036-106115435",24012.79
"chr1-106115435-106340412",24294.5
"chr1-106340412-106555135",23437.52
"chr1-106555135-106769039",23515.77
"chr1-106984184-107198528",23543.24
"chr1-107198528-107407004",22654.38
"chr1-107407004-107617445",22888.58
"chr1-107617445-107834617",23294.68
"chr1-107834617-108050395",22993.52
"chr1-108474797-108717430",25781.25
"chr1-108717430-108938125",22765.05
"chr1-108938125-109185436",24827.45
"chr1-109185436-109405362",22916.51
"chr1-109405362-109624258",23334.53
"chr1-109624258-109877819",25134.14
"chr1-109877819-110089305",22696.68
"chr1-110089305-110297077",22630.43
"chr1-110297077-110515537",23053.15
"chr1-110515537-110722930",22642.49
"chr1-110722930-110944643",23710.33
"chr1-110944643-111176928",24979.34
"chr1-111176928-111403727",24374.22
"chr1-111403727-111619334",23112.04
"chr1-111619334-111834937",23532.19
"chr1-111834937-112040189",22399.64
"chr1-112040189-112270004",24505.46
"chr1-112270004-112496568",23685.25
"chr1-112496568-112722089",23637.22
"chr1-112722089-112982960",26293.71
"chr1-112982960-113228575",24852.54
"chr1-113228575-113452820",23691.77
"chr1-113452820-113697147",26296.79
"chr1-113697147-113920658",23161.04
"chr1-113920658-114138505",23346.7
"chr1-114138505-114363754",24161.57
"chr1-114363754-114591108",23500.88
"chr1-114591108-114818662",23509.28
"chr1-114818662-115050613",24524.01
"chr1-115050613-115263189",22877.78
"chr1-115263189-115475457",23410.82
"chr1-115475457-115701869",24472.5
"chr1-115701869-115914768",22481.53
"chr1-115914768-116142682",24036.62
"chr1-116142682-116355065",22888.73
"chr1-116355065-116564976",22394.32
"chr1-116564976-116820444",27276.59
"chr1-116820444-117042122",23430.95
"chr1-117042122-117266607",24163.34
"chr1-117266607-117495048",24304.1
"chr1-117495048-117704170",22603.04
"chr1-117704170-117930930",24460.94
"chr1-117930930-118144278",23408.5
"chr1-118144278-118365921",23813.8
"chr1-118365921-118598393",24794.25
"chr1-118598393-118830265",24677.05
"chr1-118830265-119054000",24446.63
"chr1-119054000-119286745",24613.53
"chr1-119286745-119511375",24471.34
"chr1-119511375-119749917",25965.13
"chr1-119749917-119968835",23578.05
"chr1-145788972-146038331",25664.26
"chr1-147137140-147382457",25967.1
"chr1-147382457-147610845",24538.77
"chr1-147610845-147827769",23343.24
"chr1-149935492-150169772",24324.6
"chr1-150169772-150422271",25114.66
"chr1-150422271-150676347",25632.72
"chr1-150676347-150922081",24754.9
"chr1-150922081-151170673",24525.67
"chr1-151170673-151415262",24946.26
"chr1-151415262-151656563",24522.47
"chr1-151656563-151876194",22978.87
"chr1-151876194-152098675",23528.53
"chr1-152098675-152346401",26885.81
"chr1-152346401-152576459",24885.13
"chr1-152576459-152796855",22056.72
"chr1-152796855-153023028",24179.98
"chr1-153023028-153248741",24329.84
"chr1-153248741-153480721",25111.44
"chr1-153480721-153718559",23825.13
"chr1-153718559-153956028",16559.11
"chr1-153956028-154219679",26402.79
"chr1-154219679-154467281",24951.55
"chr1-154467281-154697959",24167.63
"chr1-154697959-154910098",22931.66
"chr1-154910098-155137099",23437.07
"chr1-155137099-155390173",20239.29
"chr1-155390173-155661465",27003.04
"chr1-155930079-156167840",24237.31
"chr1-156167840-156411376",25147.88
"chr1-156411376-156634848",23504.08
"chr1-156634848-156857816",23622.73
"chr1-156857816-157071704",22694.5
"chr1-157071704-157298100",24349.15
"chr1-157298100-157536502",25882.25
"chr1-157536502-157759337",23854.3
"chr1-157759337-157977819",23153.62
"chr1-157977819-158191442",22777.9
"chr1-158191442-158447857",26970.7
"chr1-158879157-159108771",24169.18
"chr1-159333387-159565527",24627.98
"chr1-159565527-159801749",25332.01
"chr1-159801749-160013029",22678.69
"chr1-160013029-160222770",22761.42
"chr1-160222770-160446189",23776.98
"chr1-160446189-160676128",24476.44
"chr1-160676128-160912734",25452.03
"chr1-160912734-161163714",25612.66
"chr1-161163714-161402131",24193.3
"chr1-161778892-161995600",23368.39
"chr1-161995600-162209839",22923.26
"chr1-162209839-162421551",22961
"chr1-162421551-162657866",24304.18
"chr1-162657866-162900490",26049.45
"chr1-162900490-163114049",23150.72
"chr1-163114049-163329759",23471.12
"chr1-163329759-163540436",22602.05
"chr1-163540436-163766477",23997.65
"chr1-163766477-163980971",23150.6
"chr1-163980971-164209377",24598.84
"chr1-164209377-164428758",23302.15
"chr1-164428758-164653592",23674.6
"chr1-164653592-164861058",22555.01
"chr1-164861058-165075514",23134.24
"chr1-165075514-165294537",23512.63
"chr1-165294537-165500759",22271.63
"chr1-165500759-165719721",23091.54
"chr1-165719721-165949563",23754.24
"chr1-165949563-166174065",24561.84
"chr1-166174065-166421111",25891.18
"chr1-166421111-166649468",24439.66
"chr1-166649468-166880563",24515.02
"chr1-166880563-167089778",22682.1
"chr1-167089778-167304032",22436.5
"chr1-167304032-167521533",23369.3
"chr1-167521533-167742993",23346.28
"chr1-167742993-167972402",23816.81
"chr1-167972402-168192601",23455.94
"chr1-168192601-168418211",23843.34
"chr1-168418211-168642230",23937.62
"chr1-168642230-168861611",23544.48
"chr1-168861611-169082240",23459.25
"chr1-169082240-169308631",23936.95
"chr1-169535318-169759718",24123.69
"chr1-169759718-169974772",22868.18
"chr1-170209658-170428908",23300.52
"chr1-170428908-170660129",24302.89
"chr1-170660129-170879984",23392.22
"chr1-170879984-171104761",24177.22
"chr1-171104761-171324894",23427.46
"chr1-171324894-171566743",25335.79
"chr1-171566743-171797950",24251.37
"chr1-171797950-172010792",22720.4
"chr1-172010792-172242144",24956.5
"chr1-172242144-172463679",24128.36
"chr1-172463679-172678792",23074.24
"chr1-172898398-173127690",24676.72
"chr1-173127690-173359934",25356.91
"chr1-173359934-173590996",24470.21
"chr1-173590996-173845656",26514.91
"chr1-173845656-174077788",23891.05
"chr1-174077788-174318176",25067.33
"chr1-174318176-174550227",24591.68
"chr1-174550227-174802717",27136.75
"chr1-174802717-175033664",24316.81
"chr1-175033664-175255209",24131.24
"chr1-175255209-175473478",23265.04
"chr1-175473478-175680039",22578.53
"chr1-175680039-175887609",22765.28
"chr1-175887609-176118591",24279.84
"chr1-176118591-176351646",24610.59
"chr1-176351646-176570603",23607.01
"chr1-176570603-176784530",22710.09
"chr1-176784530-176991769",22553.8
"chr1-176991769-177197299",22203.58
"chr1-177197299-177418555",24215.22
"chr1-177418555-177629861",22809.34
"chr1-177629861-177865627",26064.12
"chr1-177865627-178085963",23699.42
"chr1-178085963-178309567",24012.21
"chr1-178309567-178526876",23065.41
"chr1-178526876-178754759",23561.14
"chr1-178754759-178981539",24381.71
"chr1-178981539-179220304",24626.16
"chr1-179220304-179469542",25467.37
"chr1-179469542-179712660",25814.7
"chr1-179712660-179931179",22945.51
"chr1-179931179-180152832",23067.07
"chr1-180152832-180372259",23245.72
"chr1-180372259-180595383",23512.36
"chr1-180595383-180823871",24354.94
"chr1-180823871-181050356",23876.73
"chr1-181050356-181285926",25236.5
"chr1-181492252-181702839",22958.15
"chr1-181702839-181922628",23599.83
"chr1-181922628-182148648",24071.31
"chr1-182148648-182372661",23201.82
"chr1-182372661-182594407",23353.49
"chr1-182594407-182808479",22654.01
"chr1-182808479-183035889",23629.22
"chr1-183035889-183253854",23231.08
"chr1-183253854-183478047",23679.7
"chr1-183709109-183922335",22863.48
"chr1-183922335-184137253",23159.44
"chr1-184137253-184360823",23860.97
"chr1-184360823-184573011",22796.54
"chr1-184573011-184788052",22565.05
"chr1-184788052-185019751",24296.65
"chr1-185019751-185246445",23567.44
"chr1-185246445-185471203",24073.9
"chr1-185471203-185695347",24233.21
"chr1-185695347-185919004",24164.04
"chr1-185919004-186130060",23039.45
"chr1-186130060-186356236",24179.56
"chr1-186356236-186577153",23532.6
"chr1-186577153-186803757",23979.93
"chr1-186803757-187018649",23276.2
"chr1-187018649-187236455",23324.51
"chr1-187236455-187455496",23879.04
"chr1-187455496-187678776",23948.14
"chr1-187678776-187905711",24210.69
"chr1-187905711-188117664",23006.01
"chr1-188117664-188329399",23222.51
"chr1-188329399-188539899",22607.91
"chr1-188539899-188759857",24284.92
"chr1-188759857-188977201",23733.87
"chr1-188977201-189196301",24118.71
"chr1-189196301-189423083",24626.4
"chr1-189423083-189639719",23885.15
"chr1-189639719-189857174",23923.94
"chr1-189857174-190068345",23922.02
"chr1-190068345-190277880",23410.07
"chr1-190277880-190486825",23427.84
"chr1-190486825-190698128",23139.54
"chr1-190698128-190910954",23359.15
"chr1-190910954-191134167",24257.68
"chr1-191134167-191347284",23211.68
"chr1-191347284-191566630",23834.25
"chr1-191566630-191778766",23074.57
"chr1-191993096-192206664",23345.12
"chr1-192206664-192419051",23239.13
"chr1-192419051-192643494",24436.6
"chr1-192643494-192869393",24092.68
"chr1-192869393-193086063",22844.62
"chr1-193086063-193302773",23076.7
"chr1-193302773-193519817",23226.45
"chr1-193519817-193739150",23263.1
"chr1-193739150-193960129",24282.85
"chr1-193960129-194177585",23197.94
"chr1-194177585-194396944",23834.67
"chr1-194396944-194617322",23639.63
"chr1-194617322-194831999",23765.03
"chr1-194831999-195045472",23462.61
"chr1-195045472-195264269",23964.55
"chr1-195474752-195694673",24180.43
"chr1-195694673-195907495",22925.05
"chr1-195907495-196125977",23813.78
"chr1-196125977-196346200",23974.08
"chr1-196346200-196558624",23482.2
"chr1-196558624-196802521",26258.25
"chr1-197080129-197296219",23383.31
"chr1-197296219-197506470",23309.15
"chr1-197506470-197731903",25007.86
"chr1-197731903-197955867",23612.51
"chr1-197955867-198172809",23268.43
"chr1-198172809-198389032",22457.77
"chr1-198389032-198603162",11486.48
"chr1-198603162-198809650",15688.25
"chr1-198809650-199020230",23155.52
"chr1-199020230-199233774",23164.75
"chr1-199233774-199448938",23196.69
"chr1-199676334-199897343",23261.21
"chr1-199897343-200132098",23586.05
"chr1-200132098-200358839",23893.12
"chr1-200358839-200587138",29707.18
"chr1-200587138-200818702",23706.5
"chr1-200818702-201038687",23035.07
"chr1-201038687-201255853",22950.33
"chr1-201255853-201467941",22711.31
"chr1-201467941-201685632",23302.62
"chr1-201685632-201905199",23277
"chr1-201905199-202148697",24102.34
"chr1-202148697-202374958",24098.73
"chr1-202374958-202670409",31323.44
"chr1-202670409-202897669",24498.51
"chr1-202897669-203118813",22880.26
"chr1-203118813-203338562",23476.96
"chr1-203338562-203561537",24196.23
"chr1-203561537-203797877",24400.51
"chr1-203797877-204043499",24496.14
"chr1-204043499-204263816",23310.48
"chr1-204263816-204477437",24173.07
"chr1-204477437-204696125",23018.98
"chr1-204696125-204908018",22857.9
"chr1-204908018-205119735",22972.11
"chr1-205119735-205349261",23525.83
"chr1-205349261-205574074",23827.97
"chr1-205574074-205800364",23558.08
"chr1-205800364-206029681",24822.75
"chr1-206479801-206695605",22836.51
"chr1-206695605-206908622",23002.07
"chr1-206908622-207119737",23015.75
"chr1-207119737-207345889",24418.9
"chr1-207345889-207612537",27027.66
"chr1-207612537-207856749",26243.36
"chr1-207856749-208064593",22927.89
"chr1-208064593-208271098",22563.89
"chr1-208271098-208480706",22842.47
"chr1-208480706-208689685",22761.09
"chr1-208689685-208911160",23647.21
"chr1-208911160-209131351",23766.43
"chr1-209131351-209347497",22767.62
"chr1-209347497-209559053",22533.74
"chr1-209559053-209769057",22835.39
"chr1-209769057-209994282",23892.84
"chr1-209994282-210217960",23752.86
"chr1-210217960-210434813",23038.33
"chr1-210434813-210652067",23165.74
"chr1-210652067-210869308",23788.18
"chr1-210869308-211117053",26018.41
"chr1-211117053-211351699",24421.49
"chr1-211351699-211588762",24766.5
"chr1-211588762-211816201",23603.75
"chr1-211816201-212041445",23620.35
"chr1-212041445-212271490",23877.28
"chr1-212271490-212503232",24405.9
"chr1-212503232-212721767",23115.17
"chr1-212721767-212963922",24453.24
"chr1-212963922-213196368",24748.6
"chr1-213196368-213416525",23186.02
"chr1-213416525-213638876",23871.59
"chr1-213638876-213852605",23312.97
"chr1-213852605-214058725",22390.54
"chr1-214058725-214269507",22505.42
"chr1-214269507-214485082",22950
"chr1-214485082-214707709",23518.34
"chr1-214932333-215140518",21995.08
"chr1-215140518-215355787",29265.91
"chr1-215583453-215797783",23122.1
